date,sentiment_label,rule_based_regime,hmm_regime,article_count,decision_article_count,agreement_rule_based,agreement_hmm
2024-01-10,risk_on,Crisis,Risk-On,0,1,False,True
2024-01-11,risk_on,Crisis,Risk-On,0,1,False,True
2024-01-12,risk_on,Crisis,Risk-On,0,1,False,True
2024-01-15,risk_on,Stress,Risk-On,0,1,False,True
2024-03-13,risk_off,Crisis,Risk-On,0,1,True,False
2024-03-14,risk_off,Crisis,Risk-On,0,1,True,False
2024-03-15,risk_off,Crisis,Risk-On,0,1,True,False
2024-03-18,risk_off,Crisis,Risk-On,0,1,True,False
2024-03-19,risk_off,Crisis,Risk-On,0,1,True,False
2024-05-28,risk_on,Crisis,Risk-Off,0,1,False,False
2024-05-29,risk_on,Crisis,Risk-Off,0,1,False,False
2024-05-30,risk_on,Crisis,Risk-Off,0,1,False,False
2024-05-31,risk_on,Crisis,Risk-Off,0,1,False,False
2024-06-03,risk_on,Crisis,Risk-Off,0,1,False,False
2024-07-09,risk_on,Crisis,Risk-Off,0,1,False,False
2024-07-10,risk_on,Crisis,Risk-Off,0,1,False,False
2024-07-11,risk_on,Crisis,Risk-Off,0,1,False,False
2024-07-12,risk_on,Crisis,Risk-Off,0,1,False,False
2024-07-15,risk_on,Crisis,Risk-Off,0,1,False,False
2024-09-17,risk_on,Crisis,Risk-On,0,1,False,True
2024-09-18,risk_on,Crisis,Risk-On,0,1,False,True
2024-09-19,risk_on,Crisis,Risk-On,0,1,False,True
2024-09-20,risk_on,Crisis,Risk-On,0,1,False,True
2024-09-23,risk_on,Crisis,Risk-On,0,1,False,True
2024-11-05,risk_on,Crisis,Risk-On,0,1,False,True
2024-11-06,risk_on,Crisis,Risk-On,0,1,False,True
2024-11-07,risk_on,Crisis,Risk-On,0,1,False,True
2024-11-08,risk_on,Crisis,Risk-On,0,1,False,True
2024-11-11,risk_on,Crisis,Risk-On,0,1,False,True
2025-01-14,risk_on,Crisis,Risk-On,0,1,False,True
2025-01-15,risk_on,Crisis,Risk-On,0,1,False,True
2025-01-16,risk_on,Crisis,Risk-On,0,1,False,True
2025-01-17,risk_on,Crisis,Risk-On,0,1,False,True
2025-01-20,risk_on,Crisis,Risk-On,0,1,False,True
2025-06-10,risk_on,Crisis,Risk-Off,0,1,False,False
2025-06-11,risk_on,Crisis,Risk-Off,0,1,False,False
2025-06-12,risk_on,Crisis,Risk-Off,0,1,False,False
2025-06-13,risk_on,Crisis,Risk-Off,0,1,False,False
2025-06-16,risk_on,Crisis,Risk-Off,0,1,False,False
2025-08-19,risk_on,Crisis,Risk-Off,0,1,False,False
2025-08-20,risk_on,Crisis,Risk-Off,0,1,False,False
2025-08-21,risk_on,Crisis,Risk-Off,0,1,False,False
2025-08-22,risk_on,Crisis,Risk-Off,0,1,False,False
2025-08-25,risk_on,Crisis,Risk-Off,0,1,False,False
2025-10-07,risk_off,Crisis,Risk-On,0,1,True,False
2025-10-08,risk_off,Crisis,Risk-On,0,1,True,False
2025-10-09,risk_off,Crisis,Risk-On,0,1,True,False
2025-10-10,risk_off,Crisis,Risk-On,0,1,True,False
2025-10-13,risk_off,Crisis,Risk-On,0,1,True,False
2025-12-16,risk_on,Crisis,Risk-On,0,1,False,True
2025-12-17,risk_on,Crisis,Risk-On,0,1,False,True
2025-12-18,risk_on,Crisis,Risk-On,0,1,False,True
2025-12-19,risk_on,Crisis,Risk-On,0,1,False,True
2025-12-22,risk_on,Crisis,Risk-On,0,1,False,True
2026-02-10,risk_on,Crisis,Risk-On,0,1,False,True
2026-02-11,risk_on,Crisis,Risk-On,0,1,False,True
2026-02-12,risk_on,Crisis,Risk-On,0,1,False,True
2026-02-13,risk_on,Crisis,Risk-On,0,1,False,True
2026-02-16,risk_on,Crisis,Risk-On,0,1,False,True
2026-04-14,risk_off,Crisis,Risk-On,0,1,True,False
2026-04-15,risk_off,Crisis,Risk-On,0,1,True,False
2026-04-16,risk_off,Crisis,Risk-On,0,1,True,False
2026-04-17,risk_off,Crisis,Risk-On,0,1,True,False
2026-04-20,risk_off,Crisis,Risk-On,0,1,True,False
2026-05-26,risk_on,Crisis,Risk-Off,0,1,False,False
2026-05-27,risk_on,Crisis,Risk-Off,0,1,False,False
2026-05-28,risk_on,Crisis,Risk-Off,0,1,False,False
2026-05-29,risk_on,Crisis,Risk-Off,0,1,False,False
2026-06-01,risk_on,Crisis,Risk-Off,0,1,False,False
2026-06-18,risk_on,Crisis,Risk-Off,0,1,False,False
2026-06-19,risk_on,Crisis,Risk-Off,0,1,False,False
